family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,Micro_IBSP:hi@p70,SHORT,counter,standard,24530,1115.0,231.415,808,75.2,75.3,75.2,1.21,-426.7,5,22,15,6,5,1,0,73.5,False,none
F13,Micro_IBSP:hi@p80,LONG,aligned,standard,16858,766.27,159.038,550,82.5,82.7,82.5,1.107,-510.7,5,22,13,6,4,1,0,64.7,False,none
F13,Micro_IBSP:hi@p80,LONG,counter,standard,14707,668.5,138.745,570,84.4,84.8,84.4,1.349,-418.0,5,22,15,6,5,3,0,73.5,False,none
F13,Micro_IBSP:hi@p80,SHORT,aligned,standard,14707,668.5,138.745,671,74.8,74.9,74.8,0.925,-407.3,2,22,8,6,2,2,0,35.3,False,none
F13,Micro_IBSP:hi@p80,SHORT,counter,standard,16858,766.27,159.038,640,76.6,76.7,76.6,1.238,-427.4,5,22,14,6,5,1,0,70.6,False,none
F13,Micro_IBSP:hi@p90,LONG,aligned,standard,9565,434.77,90.236,345,83.2,83.2,83.2,1.201,-552.2,3,22,12,5,4,0,0,57.6,False,none
F13,Micro_IBSP:hi@p90,LONG,counter,standard,8159,370.86,76.972,348,83.9,83.9,83.9,1.24,-403.5,3,22,13,6,5,0,0,61.8,False,none
F13,Micro_IBSP:hi@p90,SHORT,aligned,standard,8159,370.86,76.972,364,74.5,74.5,74.5,0.852,-276.8,0,22,8,6,1,0,0,26.5,False,none
F13,Micro_IBSP:hi@p90,SHORT,counter,standard,9565,434.77,90.236,386,76.4,76.6,76.4,1.231,-379.8,5,22,14,5,4,1,0,69.7,False,none
F13,Micro_IBSP:hi@p95,LONG,aligned,standard,2074,94.27,19.566,96,87.5,87.5,87.5,1.483,-153.0,3,13,10,5,4,0,0,77.3,False,none
F13,Micro_IBSP:hi@p95,LONG,counter,standard,1827,83.05,17.236,71,83.1,83.1,83.1,1.297,-268.2,3,12,7,5,4,0,0,66.7,False,none
F13,Micro_IBSP:hi@p95,SHORT,aligned,standard,1827,83.05,17.236,73,74.0,74.0,74.0,0.793,-164.6,1,12,3,5,1,0,0,23.8,False,none
F13,Micro_IBSP:hi@p95,SHORT,counter,standard,2074,94.27,19.566,99,77.8,77.8,77.8,0.998,-284.1,2,13,7,5,3,0,0,54.5,False,none
F13,Micro_IBSP:hi@p97,LONG,aligned,standard,91,4.14,0.858,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,False,none
F13,Micro_IBSP:hi@p97,LONG,counter,standard,116,5.27,1.094,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,False,none
F13,Micro_IBSP:hi@p97,SHORT,aligned,standard,116,5.27,1.094,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,False,none
F13,Micro_IBSP:hi@p97,SHORT,counter,standard,91,4.14,0.858,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,False,none
F13,Micro_IBSP:hi@p99,LONG,aligned,standard,91,4.14,0.858,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,False,none
F13,Micro_IBSP:hi@p99,LONG,counter,standard,116,5.27,1.094,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,False,none
F13,Micro_IBSP:hi@p99,SHORT,aligned,standard,116,5.27,1.094,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,False,none
F13,Micro_IBSP:hi@p99,SHORT,counter,standard,91,4.14,0.858,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,False,none
F13,Micro_IBSP:lo@p50,LONG,aligned,standard,36107,1641.23,340.632,994,75.4,75.6,75.4,1.133,-516.8,5,22,14,6,4,3,0,67.6,False,none
F13,Micro_IBSP:lo@p50,LONG,counter,standard,39088,1776.73,368.755,1122,79.6,79.6,79.6,1.308,-461.4,6,22,16,6,5,3,1,79.4,False,none
F13,Micro_IBSP:lo@p50,SHORT,aligned,standard,39088,1776.73,368.755,931,82.3,82.4,82.3,1.169,-490.0,5,22,14,6,4,3,1,67.6,False,none
F13,Micro_IBSP:lo@p50,SHORT,counter,standard,36107,1641.23,340.632,792,80.2,80.6,80.2,1.117,-680.7,4,22,12,6,4,4,0,58.8,False,none
F13,Micro_IBSP:lo@p40,LONG,aligned,standard,29327,1333.05,276.67,894,75.4,75.6,75.4,1.143,-439.7,5,22,12,6,3,3,0,58.8,False,none
F13,Micro_IBSP:lo@p40,LONG,counter,standard,32045,1456.59,302.311,1036,80.0,80.1,80.0,1.363,-417.8,6,22,17,6,6,3,1,85.3,False,none
F13,Micro_IBSP:lo@p40,SHORT,aligned,standard,32045,1456.59,302.311,854,82.3,82.6,82.3,1.06,-490.0,3,22,11,6,3,4,1,50.0,False,none
F13,Micro_IBSP:lo@p40,SHORT,counter,standard,29327,1333.05,276.67,692,80.8,81.2,80.8,1.101,-540.4,5,22,15,6,4,4,0,70.6,False,none
F13,Micro_IBSP:lo@p30,LONG,aligned,standard,21888,994.91,206.491,773,75.9,76.2,75.9,1.161,-497.7,5,22,12,6,5,3,0,64.7,False,none
F13,Micro_IBSP:lo@p30,LONG,counter,standard,24123,1096.5,227.575,883,79.2,79.2,79.2,1.324,-340.8,6,22,17,6,5,2,1,82.4,False,none
F13,Micro_IBSP:lo@p30,SHORT,aligned,standard,24123,1096.5,227.575,745,82.7,83.0,82.7,1.051,-490.0,3,22,12,6,4,4,1,55.9,False,none
F13,Micro_IBSP:lo@p30,SHORT,counter,standard,21888,994.91,206.491,608,80.9,81.2,80.9,0.992,-621.8,2,22,12,6,3,2,0,50.0,False,none
F13,Micro_IBSP:lo@p20,LONG,aligned,standard,14734,669.73,139.0,583,74.3,74.7,74.3,1.053,-476.2,5,22,11,6,4,3,0,58.8,False,none
F13,Micro_IBSP:lo@p20,LONG,counter,standard,16486,749.36,155.528,714,80.0,79.9,80.0,1.315,-316.0,6,22,17,5,4,1,0,81.8,False,none
F13,Micro_IBSP:lo@p20,SHORT,aligned,standard,16486,749.36,155.528,612,84.6,84.8,84.6,1.195,-561.0,4,22,13,5,3,2,0,60.6,False,none
F13,Micro_IBSP:lo@p20,SHORT,counter,standard,14734,669.73,139.0,498,82.7,83.1,82.7,1.127,-688.9,3,22,11,6,5,2,0,55.9,False,none
F13,Micro_IBSP:lo@p10,LONG,aligned,standard,8280,376.36,78.113,346,77.7,78.0,77.7,1.242,-355.3,5,22,13,6,4,1,0,64.7,False,none
F13,Micro_IBSP:lo@p10,LONG,counter,standard,9107,413.95,85.915,465,79.6,79.6,79.6,1.304,-343.6,3,22,14,5,4,0,0,63.6,False,none
F13,Micro_IBSP:lo@p10,SHORT,aligned,standard,9107,413.95,85.915,395,85.1,85.3,85.1,1.271,-325.3,5,22,17,5,4,1,0,78.8,False,none
F13,Micro_IBSP:lo@p10,SHORT,counter,standard,8280,376.36,78.113,303,82.8,82.8,82.8,1.214,-488.7,4,22,13,6,4,0,0,61.8,False,none
F13,Micro_IBSP:lo@p5,LONG,aligned,standard,2028,92.18,19.132,72,77.8,77.8,77.8,1.383,-163.1,3,12,8,5,3,0,0,63.6,False,none
F13,Micro_IBSP:lo@p5,LONG,counter,standard,2157,98.05,20.349,105,77.1,77.1,77.1,1.054,-384.6,2,11,7,5,4,0,0,61.9,False,none
F13,Micro_IBSP:lo@p5,SHORT,aligned,standard,2157,98.05,20.349,100,79.0,79.0,79.0,1.047,-388.3,3,11,7,5,2,0,0,57.1,False,none
F13,Micro_IBSP:lo@p5,SHORT,counter,standard,2028,92.18,19.132,67,74.6,75.8,74.6,0.48,-306.0,1,12,4,5,1,1,0,27.3,False,none
F13,Micro_Lambda:hi@p50,LONG,aligned,standard,42709,1941.32,402.915,909,80.6,80.7,80.6,1.218,-652.5,5,22,15,6,5,1,0,73.5,False,none
F13,Micro_Lambda:hi@p50,LONG,counter,standard,41491,1885.95,391.425,1008,82.4,82.5,82.4,1.369,-614.9,6,22,15,6,6,3,1,79.4,False,none
F13,Micro_Lambda:hi@p50,SHORT,aligned,standard,41491,1885.95,391.425,975,79.4,79.7,79.4,1.078,-809.7,4,22,11,6,3,5,1,52.9,False,none
F13,Micro_Lambda:hi@p50,SHORT,counter,standard,42709,1941.32,402.915,919,78.2,78.4,78.2,1.16,-497.7,4,22,13,6,5,2,0,64.7,False,none
F13,Micro_Lambda:hi@p60,LONG,aligned,standard,35726,1623.91,337.038,818,80.0,80.0,80.0,1.186,-673.5,5,22,15,6,4,1,0,70.6,False,none
F13,Micro_Lambda:hi@p60,LONG,counter,standard,34456,1566.18,325.057,892,82.5,82.6,82.5,1.369,-584.3,6,22,15,6,6,3,1,79.4,False,none
F13,Micro_Lambda:hi@p60,SHORT,aligned,standard,34456,1566.18,325.057,871,78.5,78.7,78.5,0.992,-589.9,3,22,12,6,3,2,0,52.9,False,none
F13,Micro_Lambda:hi@p60,SHORT,counter,standard,35726,1623.91,337.038,813,77.9,78.1,77.9,1.143,-501.2,4,22,12,6,5,2,0,61.8,False,none
F13,Micro_Lambda:hi@p70,LONG,aligned,standard,28433,1292.41,268.236,687,79.3,79.3,79.3,1.174,-552.5,4,22,14,6,3,0,0,61.8,False,none
F13,Micro_Lambda:hi@p70,LONG,counter,standard,27269,1239.5,257.255,773,82.3,82.3,82.3,1.356,-542.1,6,22,14,6,6,3,1,76.5,False,none
F13,Micro_Lambda:hi@p70,SHORT,aligned,standard,27269,1239.5,257.255,743,77.5,77.7,77.5,0.934,-620.3,2,22,10,6,2,2,0,41.2,False,none
F13,Micro_Lambda:hi@p70,SHORT,counter,standard,28433,1292.41,268.236,699,78.7,78.8,78.7,1.19,-493.2,5,22,11,6,5,1,0,61.8,False,none
F13,Micro_Lambda:hi@p80,LONG,aligned,standard,20912,950.55,197.283,544,78.9,79.0,78.9,1.153,-553.9,4,22,14,6,3,1,0,61.8,False,none
F13,Micro_Lambda:hi@p80,LONG,counter,standard,19963,907.41,188.33,551,80.8,80.7,80.8,1.276,-520.1,5,22,16,6,5,2,0,76.5,False,none
F13,Micro_Lambda:hi@p80,SHORT,aligned,standard,19963,907.41,188.33,557,78.6,78.8,78.6,0.96,-609.4,2,22,13,6,3,1,0,52.9,False,none
F13,Micro_Lambda:hi@p80,SHORT,counter,standard,20912,950.55,197.283,550,80.0,80.0,80.0,1.279,-521.5,5,22,16,6,6,0,0,79.4,False,none
F13,Micro_Lambda:hi@p90,LONG,aligned,standard,12856,584.36,121.283,331,77.6,77.9,77.6,1.239,-506.7,3,22,11,6,4,1,0,52.9,False,none
F13,Micro_Lambda:hi@p90,LONG,counter,standard,11983,544.68,113.047,332,78.0,77.9,78.0,1.217,-451.0,5,22,14,6,4,1,1,67.6,False,none
F13,Micro_Lambda:hi@p90,SHORT,aligned,standard,11983,544.68,113.047,311,75.6,75.8,75.6,0.837,-616.3,2,22,8,6,2,1,0,35.3,False,none
F13,Micro_Lambda:hi@p90,SHORT,counter,standard,12856,584.36,121.283,333,79.0,79.0,79.0,1.282,-274.6,5,22,15,6,5,0,0,73.5,False,none
F13,Micro_Lambda:hi@p95,LONG,aligned,standard,8078,367.18,76.208,178,72.5,72.9,72.5,1.155,-298.3,4,21,10,6,3,1,0,51.5,False,none
F13,Micro_Lambda:hi@p95,LONG,counter,standard,7510,341.36,70.849,178,79.8,79.7,79.8,1.443,-376.6,6,22,14,5,5,1,0,75.8,False,none
F13,Micro_Lambda:hi@p95,SHORT,aligned,standard,7510,341.36,70.849,176,75.6,76.0,75.6,0.857,-469.6,2,22,8,5,2,1,0,36.4,False,none
F13,Micro_Lambda:hi@p95,SHORT,counter,standard,8078,367.18,76.208,185,79.5,79.9,79.5,1.381,-274.6,4,21,13,6,4,1,0,63.6,False,none
F13,Micro_Lambda:hi@p97,LONG,aligned,standard,5885,267.5,55.519,117,77.8,77.8,77.8,1.623,-298.3,6,21,14,6,4,0,0,72.7,False,none
F13,Micro_Lambda:hi@p97,LONG,counter,standard,5434,247.0,51.264,114,79.8,79.6,79.8,1.2,-306.0,4,22,13,5,4,1,0,63.6,False,none
F13,Micro_Lambda:hi@p97,SHORT,aligned,standard,5434,247.0,51.264,116,78.4,79.1,78.4,1.057,-366.2,3,22,14,5,3,1,0,60.6,False,none
F13,Micro_Lambda:hi@p97,SHORT,counter,standard,5885,267.5,55.519,123,80.5,81.1,80.5,1.601,-185.8,5,21,16,6,4,1,0,75.8,False,none
F13,Micro_Lambda:hi@p99,LONG,aligned,standard,3065,139.32,28.915,65,84.6,84.6,84.6,2.802,-153.0,5,19,14,5,4,0,0,76.7,False,none
F13,Micro_Lambda:hi@p99,LONG,counter,standard,2801,127.32,26.425,43,81.4,81.4,81.4,1.405,-306.0,4,16,11,5,3,0,0,66.7,False,none
F13,Micro_Lambda:hi@p99,SHORT,aligned,standard,2801,127.32,26.425,44,81.8,81.8,81.8,1.198,-306.0,5,16,9,5,3,0,0,63.0,False,none
F13,Micro_Lambda:hi@p99,SHORT,counter,standard,3065,139.32,28.915,72,77.8,77.8,77.8,1.596,-306.0,5,19,12,5,4,0,0,70.0,False,none
F13,Micro_Lambda:lo@p50,LONG,aligned,standard,33760,1534.55,318.491,949,77.4,77.7,77.4,1.084,-345.3,4,22,10,6,4,3,0,52.9,False,none
F13,Micro_Lambda:lo@p50,LONG,counter,standard,34888,1585.82,329.132,1060,81.6,81.8,81.6,1.392,-456.4,6,22,16,6,6,2,1,82.4,False,none
F13,Micro_Lambda:lo@p50,SHORT,aligned,standard,34888,1585.82,329.132,1051,78.6,78.6,78.6,1.11,-370.9,5,22,14,6,6,2,1,73.5,False,none
F13,Micro_Lambda:lo@p50,SHORT,counter,standard,33760,1534.55,318.491,913,78.4,78.5,78.4,1.216,-453.2,5,22,13,6,4,2,0,64.7,False,none
