family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,Dist_To_PoC_ATR:lo@p50,SHORT,aligned,standard,47908,2177.64,451.962,967,78.8,78.9,78.8,1.117,-559.0,4,22,13,6,3,3,1,58.8,False,none
F13,Dist_To_PoC_ATR:lo@p50,SHORT,counter,standard,30314,1377.91,285.981,700,78.0,78.2,78.0,1.14,-392.7,5,22,15,6,5,2,0,73.5,False,none
F13,Dist_To_PoC_ATR:lo@p40,LONG,aligned,standard,22765,1034.77,214.764,503,79.3,79.5,79.3,1.36,-613.3,5,22,13,6,5,1,0,67.6,False,none
F13,Dist_To_PoC_ATR:lo@p40,LONG,counter,standard,41826,1901.18,394.585,872,79.2,79.2,79.2,1.173,-607.5,5,22,13,6,5,1,0,67.6,False,none
F13,Dist_To_PoC_ATR:lo@p40,SHORT,aligned,standard,41826,1901.18,394.585,867,79.4,79.4,79.4,1.139,-559.0,4,22,11,6,3,2,0,52.9,False,none
F13,Dist_To_PoC_ATR:lo@p40,SHORT,counter,standard,22765,1034.77,214.764,559,77.6,77.6,77.6,1.137,-353.8,3,22,14,6,5,0,0,64.7,False,none
F13,Dist_To_PoC_ATR:lo@p30,LONG,aligned,standard,15267,693.95,144.028,348,79.0,79.0,79.0,1.348,-632.0,5,22,14,5,4,0,0,69.7,False,none
F13,Dist_To_PoC_ATR:lo@p30,LONG,counter,standard,34306,1559.36,323.642,771,79.8,79.7,79.8,1.196,-496.2,6,22,16,6,5,1,0,79.4,False,none
F13,Dist_To_PoC_ATR:lo@p30,SHORT,aligned,standard,34306,1559.36,323.642,758,79.4,79.6,79.4,1.154,-567.4,5,22,14,6,4,2,0,67.6,False,none
F13,Dist_To_PoC_ATR:lo@p30,SHORT,counter,standard,15267,693.95,144.028,349,79.1,79.1,79.1,1.24,-417.0,4,22,14,5,5,0,0,69.7,False,none
F13,Dist_To_PoC_ATR:lo@p20,LONG,aligned,standard,9114,414.27,85.981,181,81.2,81.2,81.2,1.253,-343.4,4,22,15,5,4,0,0,69.7,False,none
F13,Dist_To_PoC_ATR:lo@p20,LONG,counter,standard,24767,1125.77,233.651,615,78.9,78.8,78.9,1.157,-381.5,4,22,14,6,5,1,0,67.6,False,none
F13,Dist_To_PoC_ATR:lo@p20,SHORT,aligned,standard,24767,1125.77,233.651,647,80.1,80.2,80.1,1.151,-527.5,5,22,14,6,5,1,0,70.6,False,none
F13,Dist_To_PoC_ATR:lo@p20,SHORT,counter,standard,9114,414.27,85.981,181,80.1,80.1,80.1,1.186,-333.8,3,22,11,5,3,0,0,51.5,False,none
F13,Dist_To_PoC_ATR:lo@p10,LONG,aligned,standard,4031,183.23,38.028,64,79.7,79.7,79.7,1.208,-153.0,3,17,10,4,2,0,0,55.6,False,none
F13,Dist_To_PoC_ATR:lo@p10,LONG,counter,standard,13418,609.91,126.585,457,79.6,79.6,79.6,1.213,-409.6,5,22,13,6,5,1,0,67.6,False,none
F13,Dist_To_PoC_ATR:lo@p10,SHORT,aligned,standard,13418,609.91,126.585,463,79.3,79.4,79.3,0.984,-362.0,3,22,11,6,3,1,0,50.0,False,none
F13,Dist_To_PoC_ATR:lo@p10,SHORT,counter,standard,4031,183.23,38.028,58,79.3,79.3,79.3,1.097,-193.3,3,17,9,4,2,0,0,51.9,False,none
F13,Dist_To_PoC_ATR:lo@p5,LONG,aligned,standard,1845,83.86,17.406,21,85.7,85.7,85.7,1.637,-146.0,4,9,6,4,3,0,0,72.2,False,none
F13,Dist_To_PoC_ATR:lo@p5,LONG,counter,standard,6944,315.64,65.509,354,78.8,78.8,78.8,1.197,-468.2,5,22,12,6,6,0,0,67.6,False,none
F13,Dist_To_PoC_ATR:lo@p5,SHORT,aligned,standard,6944,315.64,65.509,343,79.9,79.9,79.9,1.044,-374.2,3,22,11,6,5,0,0,55.9,False,none
F13,Dist_To_PoC_ATR:lo@p5,SHORT,counter,standard,1845,83.86,17.406,16,81.2,81.2,81.2,0.849,-153.0,2,9,6,4,2,0,0,55.6,False,none
F13,Dist_To_PoC_ATR:lo@p3,LONG,aligned,standard,1049,47.68,9.896,16,81.2,81.2,81.2,1.68,-146.0,4,9,6,4,3,0,0,72.2,False,none
F13,Dist_To_PoC_ATR:lo@p3,LONG,counter,standard,4081,185.5,38.5,286,78.7,78.7,78.7,1.165,-429.6,4,22,10,6,5,0,0,55.9,False,none
F13,Dist_To_PoC_ATR:lo@p3,SHORT,aligned,standard,4081,185.5,38.5,275,81.5,81.5,81.5,1.179,-326.8,4,22,12,6,5,0,0,61.8,False,none
F13,Dist_To_PoC_ATR:lo@p3,SHORT,counter,standard,1049,47.68,9.896,10,70.0,70.0,70.0,0.468,-153.0,2,9,6,4,2,0,0,55.6,False,none
F13,Dist_To_PoC_ATR:lo@p1,LONG,aligned,standard,87,3.95,0.821,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,False,none
F13,Dist_To_PoC_ATR:lo@p1,LONG,counter,standard,422,19.18,3.981,32,71.9,71.9,71.9,0.559,-275.1,1,8,2,3,0,0,0,20.0,False,none
F13,Dist_To_PoC_ATR:lo@p1,SHORT,aligned,standard,422,19.18,3.981,30,90.0,90.0,90.0,2.106,-207.4,3,8,6,3,2,0,0,73.3,False,surface
F13,Dist_To_PoC_ATR:lo@p1,SHORT,counter,standard,87,3.95,0.821,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,False,none
F13,EMA_Oscillator:hi@p50,LONG,aligned,standard,64174,2917.0,605.415,1082,79.0,79.1,79.0,1.185,-662.4,5,22,13,6,5,1,0,67.6,False,none
F13,EMA_Oscillator:hi@p50,LONG,counter,standard,12267,557.59,115.726,261,83.5,83.5,83.5,1.499,-312.5,5,22,16,6,5,0,0,76.5,False,none
