# DOT committed-system per-trade table (spec B.2 open item 8)
# book=FROZEN ratified book (book50_signals.csv)
# dataset_rows=177251 range=2026.01.19 15:49 -> 2026.07.21 17:09
# population=FULL (BOOK F0+F1 plus gap fillers). BOOK-only = rows whose signal_name is not GAP_HURST/GAP_FB/GAP_D2D.
# oracle_sha256_12=518862bf19fb engine_sha256_12=bb498eb13ce3
signal_idx,signal_name,direction,lots,entry_bar,exit_bar,entry_time,exit_time,entry_price,exit_price,pnl,pnl_per_lot,exit_type,tiers,be_nudged,initial_risk
31,L_32_Slope_Ac+Sqz_Stat+RangeOsc,LONG,1.25,10872,10881,2026.01.29 18:51,2026.01.29 19:00,48899.2,48916.442472999996,17.8,14.2,BE,1,True,57.47491
14,L_15_Bar_Rang+Micro_La+RangeOsc,LONG,1.25,10871,10883,2026.01.29 18:50,2026.01.29 19:02,48921.2,48938.5131698,17.9,14.3,BE,1,True,57.710566
1,L_2_Micro_Mo+Micro_Ra+AT_Regim,LONG,1.0,10887,10889,2026.01.29 19:06,2026.01.29 19:08,48950.2,48964.275245799996,11.1,11.1,BE,1,True,46.917486
25,L_26_Bars_Sin+Slope_Ac+Micro_VP,LONG,1.0,10890,10903,2026.01.29 19:09,2026.01.29 19:22,48945.2,49027.800925999996,79.6,79.6,LF,7,True,55.067284
23,L_24_Bars_Sin+PrevDay_+OR_Low_S,LONG,1.0,10889,10904,2026.01.29 19:08,2026.01.29 19:23,48958.7,49017.3419246,55.6,55.6,LF,5,True,65.157694
23,L_24_Bars_Sin+PrevDay_+OR_Low_S,LONG,2.0,10921,10924,2026.01.29 19:40,2026.01.29 19:43,48980.65,48934.904842,-97.5,-48.7,SL,0,False,45.745158
42,S_43_AT_Slope+Micro_Mi+Upper_Wi,SHORT,1.0,10927,10929,2026.01.29 19:46,2026.01.29 19:48,48922.7,48905.376758599996,14.3,14.3,BE,1,True,57.744138
13,S_14_Efficien+Micro_Ba+Body_Siz,SHORT,1.0,10936,10938,2026.01.29 19:55,2026.01.29 19:57,48834.2,48818.576312599995,12.6,12.6,BE,1,True,52.078958
51,GAP_FB,LONG,1.0,10946,10953,2026.01.29 20:05,2026.01.29 20:12,48891.2,48984.3571982,90.2,90.2,BE,1,True,150.0
45,L_46_Micro_En+Micro_HL+OR_Low_S,LONG,1.25,11031,11035,2026.01.29 21:30,2026.01.29 21:34,48924.75,48957.5754252,37.3,29.8,BE,2,True,109.418084
